typL,liczbaL,typS,liczbS,typP,liczbaP,typWrogaL,liczbaWrogaL,typWrogaS,liczbWrogaS,typWrogaP,liczbaWrogaP,wygrana
piechurzy,245,konnica,215,artylerzysci,12,piechurzy,427,piechurzy,154,artylerzysci,73,0
konnica,320,konnica,7,konnica,2,artylerzysci,434,artylerzysci,75,piechurzy,77,0
piechurzy,61,piechurzy,114,piechurzy,209,artylerzysci,210,konnica,126,artylerzysci,210,0
piechurzy,68,artylerzysci,40,konnica,97,konnica,450,piechurzy,25,konnica,30,0
artylerzysci,239,konnica,1,konnica,35,konnica,448,artylerzysci,14,artylerzysci,38,0
artylerzysci,1,konnica,14,artylerzysci,134,artylerzysci,85,konnica,54,konnica,132,0
artylerzysci,80,artylerzysci,230,piechurzy,24,piechurzy,246,piechurzy,318,konnica,159,0
artylerzysci,23,artylerzysci,43,artylerzysci,66,piechurzy,325,artylerzysci,214,konnica,150,0
konnica,231,artylerzysci,94,artylerzysci,40,artylerzysci,212,piechurzy,324,konnica,4,1
artylerzysci,214,artylerzysci,31,konnica,48,konnica,105,artylerzysci,55,konnica,108,0
konnica,15,artylerzysci,79,piechurzy,120,konnica,349,konnica,125,piechurzy,3,0
artylerzysci,103,konnica,161,artylerzysci,10,artylerzysci,46,konnica,404,artylerzysci,44,0
konnica,348,piechurzy,4,konnica,2,konnica,131,piechurzy,340,konnica,159,0
konnica,331,konnica,11,konnica,8,piechurzy,235,piechurzy,355,konnica,48,1
piechurzy,231,piechurzy,128,konnica,31,konnica,17,piechurzy,58,artylerzysci,311,0
konnica,296,piechurzy,36,artylerzysci,29,piechurzy,371,artylerzysci,63,piechurzy,149,1
artylerzysci,12,artylerzysci,62,piechurzy,181,konnica,400,konnica,13,artylerzysci,59,0
piechurzy,13,artylerzysci,195,konnica,80,artylerzysci,198,artylerzysci,2,konnica,306,0
konnica,78,artylerzysci,64,piechurzy,18,konnica,434,artylerzysci,47,artylerzysci,7,0
piechurzy,302,artylerzysci,141,artylerzysci,8,konnica,160,piechurzy,37,artylerzysci,93,1
artylerzysci,40,artylerzysci,22,piechurzy,30,piechurzy,152,piechurzy,190,piechurzy,305,0
konnica,274,artylerzysci,66,artylerzysci,19,artylerzysci,293,artylerzysci,249,artylerzysci,23,1
artylerzysci,64,konnica,253,artylerzysci,6,konnica,185,piechurzy,131,piechurzy,117,0
piechurzy,137,konnica,150,piechurzy,78,konnica,485,konnica,3,konnica,11,0
konnica,275,piechurzy,46,konnica,27,piechurzy,288,artylerzysci,129,konnica,27,1
piechurzy,337,piechurzy,138,artylerzysci,42,piechurzy,127,konnica,392,konnica,37,0
konnica,309,konnica,39,piechurzy,3,piechurzy,113,piechurzy,6,artylerzysci,204,1
artylerzysci,350,piechurzy,18,piechurzy,52,artylerzysci,221,artylerzysci,94,konnica,218,0
artylerzysci,257,piechurzy,59,artylerzysci,54,artylerzysci,198,piechurzy,260,piechurzy,89,0
konnica,295,konnica,21,artylerzysci,4,artylerzysci,71,konnica,112,konnica,52,1
konnica,298,piechurzy,50,piechurzy,24,artylerzysci,137,konnica,160,piechurzy,36,1
piechurzy,110,konnica,293,piechurzy,4,konnica,283,konnica,208,piechurzy,6,0
konnica,223,artylerzysci,82,konnica,39,konnica,386,artylerzysci,29,artylerzysci,4,0
artylerzysci,288,artylerzysci,84,konnica,32,konnica,401,artylerzysci,42,piechurzy,40,0
konnica,317,konnica,15,piechurzy,18,piechurzy,378,piechurzy,19,konnica,36,1
artylerzysci,166,konnica,59,artylerzysci,100,artylerzysci,372,piechurzy,14,artylerzysci,51,0
artylerzysci,157,piechurzy,37,piechurzy,68,konnica,419,piechurzy,43,konnica,29,0
piechurzy,298,konnica,130,konnica,53,piechurzy,246,artylerzysci,237,konnica,94,0
piechurzy,220,konnica,90,artylerzysci,116,piechurzy,444,artylerzysci,208,piechurzy,79,1
konnica,124,artylerzysci,196,artylerzysci,31,artylerzysci,55,konnica,319,artylerzysci,138,0
artylerzysci,307,konnica,37,konnica,20,artylerzysci,132,piechurzy,332,piechurzy,36,1
piechurzy,221,artylerzysci,164,konnica,18,konnica,207,artylerzysci,73,artylerzysci,67,0
konnica,318,artylerzysci,31,artylerzysci,6,piechurzy,84,konnica,381,artylerzysci,32,1
artylerzysci,47,artylerzysci,210,konnica,131,piechurzy,455,piechurzy,13,artylerzysci,76,1
konnica,165,artylerzysci,79,konnica,93,artylerzysci,259,konnica,287,piechurzy,16,1
piechurzy,154,artylerzysci,63,piechurzy,202,artylerzysci,235,konnica,40,piechurzy,125,0
artylerzysci,177,piechurzy,38,piechurzy,81,konnica,381,konnica,99,piechurzy,4,0
artylerzysci,24,konnica,295,piechurzy,16,konnica,330,piechurzy,104,piechurzy,48,0
artylerzysci,273,konnica,7,konnica,54,piechurzy,229,piechurzy,96,piechurzy,213,1
piechurzy,287,konnica,174,konnica,19,artylerzysci,328,artylerzysci,11,artylerzysci,140,0
konnica,276,piechurzy,64,artylerzysci,30,artylerzysci,257,artylerzysci,24,konnica,59,1
artylerzysci,250,konnica,147,artylerzysci,11,piechurzy,46,konnica,32,artylerzysci,175,1
artylerzysci,317,piechurzy,19,artylerzysci,46,piechurzy,225,konnica,200,konnica,163,1
piechurzy,95,konnica,206,artylerzysci,13,piechurzy,431,konnica,52,artylerzysci,88,0
artylerzysci,216,artylerzysci,139,piechurzy,45,piechurzy,111,piechurzy,171,piechurzy,257,1
artylerzysci,159,konnica,38,konnica,120,konnica,335,konnica,82,konnica,65,0
artylerzysci,282,artylerzysci,44,piechurzy,16,artylerzysci,174,artylerzysci,184,artylerzysci,199,0
piechurzy,68,konnica,40,piechurzy,218,piechurzy,221,konnica,122,artylerzysci,98,0
piechurzy,45,artylerzysci,222,artylerzysci,78,piechurzy,280,artylerzysci,225,konnica,189,0
artylerzysci,234,piechurzy,144,piechurzy,94,artylerzysci,59,konnica,131,artylerzysci,134,1
piechurzy,81,konnica,163,piechurzy,48,artylerzysci,62,konnica,217,artylerzysci,100,0
artylerzysci,64,piechurzy,37,piechurzy,83,piechurzy,253,konnica,337,konnica,22,0
konnica,18,piechurzy,290,piechurzy,25,artylerzysci,137,artylerzysci,169,artylerzysci,171,0
piechurzy,195,piechurzy,208,artylerzysci,126,konnica,127,artylerzysci,106,artylerzysci,89,0
artylerzysci,278,konnica,126,piechurzy,17,artylerzysci,498,artylerzysci,21,artylerzysci,36,0
piechurzy,173,piechurzy,212,artylerzysci,115,piechurzy,435,piechurzy,155,konnica,29,0
konnica,89,konnica,133,konnica,89,piechurzy,102,artylerzysci,364,artylerzysci,51,1
konnica,305,piechurzy,25,konnica,11,konnica,6,konnica,407,artylerzysci,33,0
artylerzysci,342,artylerzysci,87,artylerzysci,30,konnica,180,artylerzysci,93,konnica,196,0
konnica,318,piechurzy,17,artylerzysci,5,konnica,123,konnica,296,piechurzy,9,0
artylerzysci,126,artylerzysci,78,piechurzy,195,piechurzy,481,artylerzysci,255,artylerzysci,23,0
artylerzysci,17,piechurzy,221,konnica,201,konnica,64,piechurzy,220,konnica,239,0
artylerzysci,167,artylerzysci,128,konnica,43,konnica,116,piechurzy,35,piechurzy,249,1
artylerzysci,187,konnica,184,artylerzysci,19,konnica,187,piechurzy,275,konnica,145,0
artylerzysci,321,konnica,69,konnica,16,piechurzy,326,konnica,279,konnica,49,1
artylerzysci,40,konnica,200,artylerzysci,7,konnica,48,konnica,297,piechurzy,52,0
piechurzy,2,konnica,22,piechurzy,120,piechurzy,379,konnica,138,konnica,140,0
artylerzysci,198,piechurzy,64,konnica,87,artylerzysci,367,piechurzy,47,piechurzy,36,0
piechurzy,296,piechurzy,119,piechurzy,90,piechurzy,86,konnica,350,piechurzy,47,0
piechurzy,284,artylerzysci,1,artylerzysci,150,konnica,283,konnica,42,konnica,55,0
piechurzy,163,artylerzysci,155,piechurzy,67,piechurzy,162,konnica,339,artylerzysci,52,0
piechurzy,40,artylerzysci,256,piechurzy,59,artylerzysci,376,artylerzysci,204,konnica,45,0
konnica,307,artylerzysci,28,konnica,19,konnica,164,konnica,314,artylerzysci,23,0
piechurzy,206,artylerzysci,75,konnica,63,konnica,359,konnica,56,artylerzysci,34,0
piechurzy,172,konnica,245,konnica,13,konnica,211,artylerzysci,210,piechurzy,62,0
piechurzy,90,artylerzysci,207,konnica,54,konnica,332,artylerzysci,37,konnica,30,0
konnica,328,artylerzysci,23,konnica,5,konnica,427,konnica,44,piechurzy,30,0
piechurzy,185,piechurzy,199,artylerzysci,23,konnica,490,konnica,4,artylerzysci,6,0
konnica,257,artylerzysci,75,piechurzy,22,konnica,487,piechurzy,2,konnica,4,0
artylerzysci,154,piechurzy,129,artylerzysci,101,konnica,44,piechurzy,365,artylerzysci,113,0
artylerzysci,137,artylerzysci,60,konnica,70,artylerzysci,459,artylerzysci,1,artylerzysci,72,0
artylerzysci,317,piechurzy,44,konnica,37,piechurzy,174,piechurzy,333,artylerzysci,193,1
